_date,total_clones,unique_clones
2022-08-06,15,7
2022-08-07,41,8
2022-08-08,54,10
2022-08-09,17,6
2022-08-10,15,6
2022-08-11,16,8
2022-08-12,14,5
2022-08-13,15,7
2022-08-14,42,9
2022-08-15,14,7
2022-08-16,17,7
2022-08-17,15,7
2022-08-18,15,6
2022-08-19,14,6
2022-08-20,7,2
2022-08-21,43,8
2022-08-22,58,13
2022-08-23,6,1
2022-08-24,15,7
2022-08-25,14,5
2022-08-26,16,6
2022-08-27,17,7
2022-08-28,41,8
2022-08-29,14,7
2022-08-30,18,7
2022-08-31,14,6
2022-09-01,17,8
2022-09-02,15,7
2022-09-03,13,6
2022-09-04,38,6
2022-09-05,12,7
2022-09-06,14,6
2022-09-07,16,7
2022-09-08,12,5
2022-09-09,14,6
2022-09-10,12,7
2022-09-11,39,8
2022-09-12,13,7
2022-09-13,18,9
2022-09-14,18,6
2022-09-15,21,6
2022-09-16,9,2
2022-09-17,14,6
2022-09-18,40,7
2022-09-19,13,7
2022-09-20,18,7
2022-09-21,19,8
2022-09-22,19,8
2022-09-23,16,6
2022-09-24,12,5
2022-09-25,39,7
2022-09-26,14,7
2022-09-27,21,8
2022-09-28,20,8
2022-09-29,62,9
2022-09-30,17,7
2022-10-01,12,5
2022-10-02,43,10
2022-10-03,12,5
2022-10-04,18,6
2022-10-05,18,8
2022-10-06,20,7
2022-10-07,18,6
2022-10-08,14,5
2022-10-09,44,10
2022-10-10,27,10
2022-10-11,20,8
2022-10-12,18,7
2022-10-13,17,2
2022-10-14,22,9
2022-10-15,14,6
2022-10-16,41,9
2022-10-17,66,13
2022-10-18,23,6
2022-10-19,25,7
2022-10-20,22,7
2022-10-21,30,7
2022-10-22,14,6
2022-10-23,41,9
2022-10-24,21,8
2022-10-25,23,8
2022-10-26,31,8
2022-10-27,31,9
2022-10-28,30,9
2022-10-29,21,6
2022-10-30,55,9
2022-10-31,23,6
2022-11-01,31,10
2022-11-02,35,10
2022-11-03,27,10
2022-11-04,23,8
2022-11-05,20,5
2022-11-06,49,10
2022-11-07,30,8
2022-11-08,53,4
2022-11-09,27,7
2022-11-10,30,9
2022-11-11,29,9
2022-11-12,25,7
2022-11-13,50,10
2022-11-14,40,12
2022-11-15,25,7
2022-11-16,24,8
2022-11-17,26,8
2022-11-18,7,2
2022-11-19,24,9
2022-11-20,50,12
2022-11-21,37,10
2022-11-22,25,7
2022-11-23,26,10
2022-11-24,26,9
2022-11-25,24,7
2022-11-26,22,6
2022-11-27,32,5
2022-11-28,67,8
2022-11-29,25,8
2022-11-30,12,6
2022-12-01,25,7
2022-12-02,23,6
2022-12-03,21,6
2022-12-04,48,7
2022-12-05,25,9
2022-12-06,23,6
2022-12-07,25,9
2022-12-08,25,6
2022-12-09,25,6
2022-12-10,21,6
2022-12-11,51,10
2022-12-12,31,8
2022-12-13,25,8
2022-12-14,24,7
2022-12-15,24,8
2022-12-16,23,6
2022-12-17,25,9
2022-12-18,47,8
2022-12-19,42,11
2022-12-20,27,9
2022-12-21,25,8
2022-12-22,26,8
2022-12-23,24,8
2022-12-24,22,7
2022-12-25,34,6
2022-12-26,23,8
2022-12-27,24,7
2022-12-28,25,9
2022-12-29,23,7
2022-12-30,24,8
